ADM_CD,ADM_NM,lat,lng,행정동코드,시도,시군구,행정동명,행정동명_전체,총인구수,0_4세,5_9세,10_12세,13_15세,16_18세,19_24세,25_34세,35_49세,50_64세,65세이상
11010530,사직동,37.57385986582693,126.9704247584369,1111053000,서울특별시,종로구,사직동,서울특별시 종로구 사직동,8907.0,158.0,225.0,177.0,183.0,184.0,438.0,1430.0,2000.0,2124.0,1988.0
11010540,삼청동,37.58676436300738,126.9825017111334,1111054000,서울특별시,종로구,삼청동,서울특별시 종로구 삼청동,2099.0,30.0,36.0,42.0,42.0,52.0,89.0,277.0,422.0,497.0,612.0
11010550,부암동,37.596103341400735,126.96712450703598,1111055000,서울특별시,종로구,부암동,서울특별시 종로구 부암동,8904.0,128.0,201.0,193.0,222.0,230.0,539.0,1207.0,1851.0,2279.0,2054.0
11010560,평창동,37.61552071288381,126.9679251746256,1111056000,서울특별시,종로구,평창동,서울특별시 종로구 평창동,16974.0,360.0,500.0,428.0,448.0,490.0,926.0,1985.0,3325.0,4445.0,4067.0
11010570,무악동,37.57676664668495,126.95882087419407,1111057000,서울특별시,종로구,무악동,서울특별시 종로구 무악동,7657.0,184.0,289.0,222.0,281.0,262.0,472.0,779.0,1604.0,1945.0,1619.0
11010580,교남동,37.57165225956882,126.96338747193316,1111058000,서울특별시,종로구,교남동,서울특별시 종로구 교남동,9428.0,273.0,345.0,188.0,226.0,245.0,496.0,1315.0,2263.0,2270.0,1807.0
11010600,가회동,37.58374361798295,126.98637892743795,1111060000,서울특별시,종로구,가회동,서울특별시 종로구 가회동,3594.0,51.0,74.0,75.0,84.0,93.0,154.0,478.0,758.0,920.0,907.0
11010610,종로1·2·3·4가동,37.57776761262477,126.99308700581184,1111061500,서울특별시,종로구,종로1.2.3.4가동,서울특별시 종로구 종로1.2.3.4가동,6642.0,76.0,65.0,54.0,74.0,66.0,278.0,1251.0,1252.0,1656.0,1870.0
11010630,종로5·6가동,37.57314476504972,127.00370879072295,1111063000,서울특별시,종로구,종로5.6가동,서울특별시 종로구 종로5.6가동,5402.0,49.0,86.0,50.0,55.0,60.0,410.0,1442.0,924.0,1186.0,1140.0
11010640,이화동,37.58031855533152,127.0024868271282,1111064000,서울특별시,종로구,이화동,서울특별시 종로구 이화동,7028.0,64.0,80.0,76.0,91.0,108.0,540.0,1791.0,1278.0,1504.0,1496.0
